SECTOR,TICKER,NAME,HREF,LAST,CHANGE_%,SELL,BUY,TURNOVER_MNOK,TRADES_COUNT,MARKETCAP_MNOK,TIME_HHMMSS,TIME_SECS
Industri,SBLK,Star Bulk Carriers,https://www.oslobors.no/markedsaktivitet#/details/SBLK.OSE,59.6,29.85,0.0,0.0,1.06,90,5404.92,20:49:33,74973
Forbruksvarer,XXL,XXL,https://www.oslobors.no/markedsaktivitet#/details/XXL.OSE,11.63,18.55,0.0,0.0,55.63,3459,2935.84,20:49:33,74973
Energi,AQUA,AqualisBraemar,https://www.oslobors.no/markedsaktivitet#/details/AQUA.OSE,3.5,14.38,0.0,0.0,0.14,23,246.11,20:49:33,74973
IT,PEXIP,Pexip Holding,https://www.oslobors.no/markedsaktivitet#/details/PEXIP.OSE,103.7,12.72,0.0,0.0,279.81,5405,10265.92,20:49:33,74973
Energi,BDRILL,Borr Drilling,https://www.oslobors.no/markedsaktivitet#/details/BDRILL.OSE,5.63,11.49,0.0,0.0,20.64,2359,623.91,20:49:33,74973
Energi,PGS,PGS,https://www.oslobors.no/markedsaktivitet#/details/PGS.OSE,3.34,11.2,0.0,0.0,27.56,2229,1291.72,20:49:33,74973
Finans,KOMP,Komplett Bank,https://www.oslobors.no/markedsaktivitet#/details/KOMP.OSE,5.92,9.63,0.0,0.0,4.98,362,1101.94,20:49:33,74973
IT,CRAYON,Crayon Group Holding,https://www.oslobors.no/markedsaktivitet#/details/CRAYON.OSE,67.8,9.35,0.0,0.0,73.62,756,5185.47,20:49:33,74973
Finans,AXA,Axactor,https://www.oslobors.no/markedsaktivitet#/details/AXA.OSE,5.92,9.02,0.0,0.0,13.23,877,1097.54,20:49:33,74973
Finans,SBANK,Sbanken,https://www.oslobors.no/markedsaktivitet#/details/SBANK.OSE,59.3,8.61,0.0,0.0,38.89,651,6328.83,20:49:33,74973
Energi,PSE,Petrolia,https://www.oslobors.no/markedsaktivitet#/details/PSE.OSE,2.34,8.33,0.0,0.0,0.04,22,138.37,20:49:33,74973
Egenkapitalbevis,SKUE,Skue Sparebank,https://www.oslobors.no/markedsaktivitet#/details/SKUE.OSE,159.0,8.16,0.0,0.0,0.3,14,299.08,20:49:33,74973
Energi,ATLA NOK,Atlantic Petroleum,https://www.oslobors.no/markedsaktivitet#/details/ATLA NOK.OSE,7.02,8.0,0.0,0.0,0.0,6,25.96,20:49:33,74973
Energi,PEN,Panoro Energy,https://www.oslobors.no/markedsaktivitet#/details/PEN.OSE,9.34,7.6,0.0,0.0,5.94,343,641.04,20:49:33,74973
Industri,AMSC,American Shipping Company,https://www.oslobors.no/markedsaktivitet#/details/AMSC.OSE,24.0,7.38,0.0,0.0,1.5,189,1453.84,20:49:33,74973
Forbruksvarer,GIG,Gaming Innovation Group,https://www.oslobors.no/markedsaktivitet#/details/GIG.OSE,5.36,7.2,0.0,0.0,2.61,250,478.59,20:49:33,74973
Helsevern,VISTIN,Vistin Pharma,https://www.oslobors.no/markedsaktivitet#/details/VISTIN.OSE,12.85,7.08,0.0,0.0,9.89,289,569.83,20:49:33,74973
Helsevern,COV,ContextVision,https://www.oslobors.no/markedsaktivitet#/details/COV.OSE,154.0,6.94,0.0,0.0,1.98,117,1191.46,20:49:33,74973
Energi,AKERBP,Aker BP,https://www.oslobors.no/markedsaktivitet#/details/AKERBP.OSE,168.1,6.73,0.0,0.0,275.76,5924,60451.03,20:49:33,74973
Kommunikasjon,OTELLO,Otello Corporation,https://www.oslobors.no/markedsaktivitet#/details/OTELLO.OSE,13.9,6.51,0.0,0.0,4.77,244,1912.05,20:49:33,74973
Finans,AKER,Aker,https://www.oslobors.no/markedsaktivitet#/details/AKER.OSE,286.0,6.24,0.0,0.0,63.46,2424,21240.79,20:49:33,74973
Energi,DNO,DNO,https://www.oslobors.no/markedsaktivitet#/details/DNO.OSE,4.73,6.01,0.0,0.0,65.43,3212,4611.85,20:49:33,74973
Finans,NOFI,Norwegian Finans Holding,https://www.oslobors.no/markedsaktivitet#/details/NOFI.OSE,57.75,5.96,0.0,0.0,31.54,1086,10781.62,20:49:33,74973
Industri,WILS,Wilson,https://www.oslobors.no/markedsaktivitet#/details/WILS.OSE,21.6,5.88,0.0,0.0,0.01,7,947.38,20:49:33,74973
Finans,DNB,DNB,https://www.oslobors.no/markedsaktivitet#/details/DNB.OSE,120.7,5.88,0.0,0.0,436.48,6074,188357.59,20:49:33,74973
Forbruksvarer,SATS,SATS,https://www.oslobors.no/markedsaktivitet#/details/SATS.OSE,17.36,5.85,0.0,0.0,4.84,359,2951.2,20:49:33,74973
IT,ASETEK,Asetek,https://www.oslobors.no/markedsaktivitet#/details/ASETEK.OSE,49.45,5.21,0.0,0.0,3.63,152,1224.24,20:49:33,74973
Finans,PROTCT,Protector Forsikring,https://www.oslobors.no/markedsaktivitet#/details/PROTCT.OSE,35.95,5.12,0.0,0.0,2.91,214,2943.81,20:49:33,74973
Finans,STB,Storebrand,https://www.oslobors.no/markedsaktivitet#/details/STB.OSE,45.47,5.08,0.0,0.0,123.46,5119,21228.61,20:49:33,74973
Industri,GOGL,Golden Ocean Group,https://www.oslobors.no/markedsaktivitet#/details/GOGL.OSE,32.98,5.03,0.0,0.0,35.38,1853,4725.3,20:49:33,74973
Forbruksvarer,KID,Kid,https://www.oslobors.no/markedsaktivitet#/details/KID.OSE,54.8,4.58,0.0,0.0,0.9,56,2227.35,20:49:33,74973
Eiendom,SBO,Selvaag Bolig,https://www.oslobors.no/markedsaktivitet#/details/SBO.OSE,41.95,4.22,0.0,0.0,2.93,273,3919.02,20:49:33,74973
Eiendom,NPRO,Norwegian Property,https://www.oslobors.no/markedsaktivitet#/details/NPRO.OSE,11.15,4.21,0.0,0.0,0.1,19,5503.93,20:49:33,74973
Forsyning,FKRAFT,Fjordkraft Holding,https://www.oslobors.no/markedsaktivitet#/details/FKRAFT.OSE,85.8,4.13,0.0,0.0,28.86,530,8972.3,20:49:33,74973
IT,IDEX,IDEX Biometrics,https://www.oslobors.no/markedsaktivitet#/details/IDEX.OSE,1.69,4.06,0.0,0.0,19.28,1493,1213.4,20:49:33,74973
Industri,WALWIL,Wallenius Wilhelmsen,https://www.oslobors.no/markedsaktivitet#/details/WALWIL.OSE,11.4,4.01,0.0,0.0,5.33,364,4814.28,20:49:33,74973
Egenkapitalbevis,NONG,SpareBank 1 Nord-Norge,https://www.oslobors.no/markedsaktivitet#/details/NONG.OSE,59.9,3.99,0.0,0.0,10.19,418,6013.84,20:49:33,74973
Energi,EQNR,Equinor,https://www.oslobors.no/markedsaktivitet#/details/EQNR.OSE,144.65,3.92,0.0,0.0,723.53,10291,477730.4,20:49:33,74973
Helsevern,MEDI,Medistim,https://www.oslobors.no/markedsaktivitet#/details/MEDI.OSE,202.0,3.86,0.0,0.0,10.43,151,3676.57,20:49:33,74973
Materialer,YAR,Yara International,https://www.oslobors.no/markedsaktivitet#/details/YAR.OSE,325.0,3.83,0.0,0.0,241.2,5087,87645.55,20:49:33,74973
Helsevern,NAVA,Navamedic,https://www.oslobors.no/markedsaktivitet#/details/NAVA.OSE,24.4,3.83,0.0,0.0,0.32,33,360.45,20:49:33,74973
Helsevern,PCIB,PCI Biotech Holding,https://www.oslobors.no/markedsaktivitet#/details/PCIB.OSE,60.3,3.79,0.0,0.0,15.52,658,2247.13,20:49:33,74973
Konsumvarer,NRS,Norway Royal Salmon,https://www.oslobors.no/markedsaktivitet#/details/NRS.OSE,221.0,3.76,0.0,0.0,8.42,416,9598.33,20:49:33,74973
Energi,BWO,BW Offshore Limited,https://www.oslobors.no/markedsaktivitet#/details/BWO.OSE,31.0,3.75,0.0,0.0,42.12,1938,5616.97,20:49:33,74973
Energi,TGS,TGS-NOPEC Geophysical Company,https://www.oslobors.no/markedsaktivitet#/details/TGS.OSE,144.25,3.74,0.0,0.0,68.02,3221,16863.41,20:49:33,74973
Egenkapitalbevis,MING,SpareBank 1 SMN,https://www.oslobors.no/markedsaktivitet#/details/MING.OSE,72.7,3.71,0.0,0.0,14.74,524,9439.06,20:49:33,74973
Materialer,NHY,Norsk Hydro,https://www.oslobors.no/markedsaktivitet#/details/NHY.OSE,23.63,3.64,0.0,0.0,224.95,5681,48420.82,20:49:33,74973
Energi,SUBC,Subsea 7,https://www.oslobors.no/markedsaktivitet#/details/SUBC.OSE,53.9,3.57,0.0,0.0,75.57,3914,16019.65,20:49:33,74973
IT,NAPA,Napatech,https://www.oslobors.no/markedsaktivitet#/details/NAPA.OSE,3.88,3.47,0.0,0.0,0.2,23,322.26,20:49:33,74973
Industri,JIN,Jinhui Shipping and Transportation,https://www.oslobors.no/markedsaktivitet#/details/JIN.OSE,3.55,3.2,0.0,0.0,0.29,42,387.87,20:49:33,74973
Energi,PRS,Prosafe,https://www.oslobors.no/markedsaktivitet#/details/PRS.OSE,1.39,3.11,0.0,0.0,0.04,23,113.95,20:49:33,74973
Industri,WWIB,Wilh. Wilhelmsen Holding ser. B,https://www.oslobors.no/markedsaktivitet#/details/WWIB.OSE,100.0,3.09,0.0,0.0,0.26,17,1058.0,20:49:33,74973
Materialer,ELK,Elkem,https://www.oslobors.no/markedsaktivitet#/details/ELK.OSE,17.08,3.08,0.0,0.0,23.0,465,9928.78,20:49:33,74973
Energi,IOX,Interoil Exploration and Production,https://www.oslobors.no/markedsaktivitet#/details/IOX.OSE,1.29,3.04,0.0,0.0,0.3,50,202.36,20:49:33,74973
Energi,RAKP,RAK Petroleum,https://www.oslobors.no/markedsaktivitet#/details/RAKP.OSE,5.1,3.03,0.0,0.0,0.27,11,991.69,20:49:33,74973
Energi,QEC,Questerre Energy Corporation,https://www.oslobors.no/markedsaktivitet#/details/QEC.OSE,0.79,2.86,0.0,0.0,0.41,63,338.05,20:49:33,74973
Energi,SIOFF,Siem Offshore,https://www.oslobors.no/markedsaktivitet#/details/SIOFF.OSE,0.72,2.86,0.0,0.0,0.11,17,673.01,20:49:33,74973
Eiendom,ENTRA,Entra,https://www.oslobors.no/markedsaktivitet#/details/ENTRA.OSE,121.5,2.79,0.0,0.0,49.76,1108,22116.02,20:49:33,74973
Energi,BWE,BW Energy Limited,https://www.oslobors.no/markedsaktivitet#/details/BWE.OSE,13.26,2.79,0.0,0.0,4.67,383,3106.88,20:49:33,74973
Industri,TOM,Tomra Systems,https://www.oslobors.no/markedsaktivitet#/details/TOM.OSE,350.5,2.76,0.0,0.0,89.7,2386,51705.79,20:49:33,74973
Egenkapitalbevis,SVEG,Sparebanken Vest,https://www.oslobors.no/markedsaktivitet#/details/SVEG.OSE,60.0,2.74,0.0,0.0,1.83,171,6437.7,20:49:33,74973
Industri,SNI,Stolt-Nielsen,https://www.oslobors.no/markedsaktivitet#/details/SNI.OSE,79.7,2.71,0.0,0.0,0.26,46,4265.85,20:49:33,74973
Energi,EMGS,Electromagnetic Geoservices,https://www.oslobors.no/markedsaktivitet#/details/EMGS.OSE,0.62,2.67,0.0,0.0,0.03,20,80.68,20:49:33,74973
Energi,OTS,Oceanteam,https://www.oslobors.no/markedsaktivitet#/details/OTS.OSE,3.09,2.66,0.0,0.0,0.01,5,105.71,20:49:33,74973
Finans,B2H,B2Holding,https://www.oslobors.no/markedsaktivitet#/details/B2H.OSE,3.71,2.63,0.0,0.0,4.11,506,1518.8,20:49:33,74973
Forsyning,SSO,Scatec Solar,https://www.oslobors.no/markedsaktivitet#/details/SSO.OSE,176.6,2.56,0.0,0.0,55.12,1076,22195.65,20:49:33,74973
Kommunikasjon,SCHB,Schibsted ser. B,https://www.oslobors.no/markedsaktivitet#/details/SCHB.OSE,211.4,2.52,0.0,0.0,18.45,602,27334.25,20:49:33,74973
Egenkapitalbevis,SBTE,Sparebanken Telemark,https://www.oslobors.no/markedsaktivitet#/details/SBTE.OSE,122.0,2.52,0.0,0.0,0.2,7,1329.63,20:49:33,74973
Finans,SRBANK,SpareBank 1 SR-Bank,https://www.oslobors.no/markedsaktivitet#/details/SRBANK.OSE,64.0,2.48,0.0,0.0,19.47,811,16367.06,20:49:33,74973
Finans,PARB,Pareto Bank,https://www.oslobors.no/markedsaktivitet#/details/PARB.OSE,29.0,2.47,0.0,0.0,1.62,107,2025.7,20:49:33,74973
IT,KIT,Kitron,https://www.oslobors.no/markedsaktivitet#/details/KIT.OSE,11.12,2.39,0.0,0.0,1.75,143,1991.64,20:49:33,74973
Industri,AFK,Arendals Fossekompani,https://www.oslobors.no/markedsaktivitet#/details/AFK.OSE,2580.0,2.38,0.0,0.0,1.02,10,5648.7,20:49:33,74973
Energi,MSEIS,Magseis Fairfield,https://www.oslobors.no/markedsaktivitet#/details/MSEIS.OSE,1.31,2.34,0.0,0.0,2.77,272,349.47,20:49:33,74973
Egenkapitalbevis,SPOL,SpareBank 1 Østlandet,https://www.oslobors.no/markedsaktivitet#/details/SPOL.OSE,84.5,2.3,0.0,0.0,4.25,121,9787.62,20:49:33,74973
Helsevern,CARA,Carasent,https://www.oslobors.no/markedsaktivitet#/details/CARA.OSE,15.6,2.3,0.0,0.0,1.67,133,633.89,20:49:33,74973
IT,BOUVET,Bouvet,https://www.oslobors.no/markedsaktivitet#/details/BOUVET.OSE,492.0,2.29,0.0,0.0,14.93,179,5042.77,20:49:33,74973
Industri,KOG,Kongsberg Gruppen,https://www.oslobors.no/markedsaktivitet#/details/KOG.OSE,135.8,2.26,0.0,0.0,22.85,591,24303.5,20:49:33,74973
Egenkapitalbevis,HELG,Helgeland Sparebank,https://www.oslobors.no/markedsaktivitet#/details/HELG.OSE,68.5,2.24,0.0,0.0,0.09,15,1426.37,20:49:33,74973
Kommunikasjon,SCHA,Schibsted ser. A,https://www.oslobors.no/markedsaktivitet#/details/SCHA.OSE,223.4,2.15,0.0,0.0,33.87,1702,23336.35,20:49:33,74973
Helsevern,TRVX,Targovax,https://www.oslobors.no/markedsaktivitet#/details/TRVX.OSE,7.72,2.12,0.0,0.0,2.41,208,587.4,20:49:33,74973
Konsumvarer,ARCUS,Arcus,https://www.oslobors.no/markedsaktivitet#/details/ARCUS.OSE,38.8,2.11,0.0,0.0,0.4,36,2630.66,20:49:33,74973
Helsevern,NANO,Nordic Nanovector,https://www.oslobors.no/markedsaktivitet#/details/NANO.OSE,23.5,2.09,0.0,0.0,9.42,610,1554.81,20:49:33,74973
Energi,SBX,SeaBird Exploration,https://www.oslobors.no/markedsaktivitet#/details/SBX.OSE,0.25,2.04,0.0,0.0,1.35,280,134.73,20:49:33,74973
Energi,BWLPG,BW LPG,https://www.oslobors.no/markedsaktivitet#/details/BWLPG.OSE,31.74,1.99,0.0,0.0,18.9,1475,4399.74,20:49:33,74973
IT,THIN,Thin Film Electronics,https://www.oslobors.no/markedsaktivitet#/details/THIN.OSE,0.88,1.98,0.0,0.0,0.39,131,51.39,20:49:33,74973
Materialer,BRG,Borregaard,https://www.oslobors.no/markedsaktivitet#/details/BRG.OSE,93.0,1.97,0.0,0.0,10.59,182,9262.05,20:49:33,74973
Industri,NRC,NRC Group,https://www.oslobors.no/markedsaktivitet#/details/NRC.OSE,26.25,1.94,0.0,0.0,0.59,62,1910.76,20:49:33,74973
Eiendom,OLT,Olav Thon Eiendomsselskap,https://www.oslobors.no/markedsaktivitet#/details/OLT.OSE,132.0,1.93,0.0,0.0,1.11,91,13678.26,20:49:33,74973
Industri,VOW,Vow,https://www.oslobors.no/markedsaktivitet#/details/VOW.OSE,20.3,1.91,0.0,0.0,4.25,233,2163.24,20:49:33,74973
Industri,MULTI,Multiconsult,https://www.oslobors.no/markedsaktivitet#/details/MULTI.OSE,55.0,1.85,0.0,0.0,0.47,8,1477.87,20:49:33,74973
Egenkapitalbevis,SOAG,SpareBank 1 Østfold Akershus,https://www.oslobors.no/markedsaktivitet#/details/SOAG.OSE,220.0,1.85,0.0,0.0,0.08,8,2725.34,20:49:33,74973
Konsumvarer,BAKKA,Bakkafrost,https://www.oslobors.no/markedsaktivitet#/details/BAKKA.OSE,579.5,1.85,0.0,0.0,120.78,2905,34245.3,20:49:33,74973
Finans,GJF,Gjensidige Forsikring,https://www.oslobors.no/markedsaktivitet#/details/GJF.OSE,177.0,1.84,0.0,0.0,91.33,1857,88498.09,20:49:33,74973
IT,NORBIT,NORBIT,https://www.oslobors.no/markedsaktivitet#/details/NORBIT.OSE,14.15,1.8,0.0,0.0,0.5,56,803.53,20:49:33,74973
Energi,OKEA,OKEA,https://www.oslobors.no/markedsaktivitet#/details/OKEA.OSE,8.0,1.78,0.0,0.0,0.37,39,820.02,20:49:33,74973
Industri,NKR,Nekkar,https://www.oslobors.no/markedsaktivitet#/details/NKR.OSE,2.93,1.74,0.0,0.0,0.17,29,309.45,20:49:33,74973
Energi,DOF,DOF,https://www.oslobors.no/markedsaktivitet#/details/DOF.OSE,0.6,1.69,0.0,0.0,0.44,67,184.66,20:49:33,74973
Helsevern,PHO,Photocure,https://www.oslobors.no/markedsaktivitet#/details/PHO.OSE,72.5,1.68,0.0,0.0,33.22,1098,1737.06,20:49:33,74973
Materialer,NSKOG,Norske Skog,https://www.oslobors.no/markedsaktivitet#/details/NSKOG.OSE,27.6,1.66,0.0,0.0,1.54,206,2277.0,20:49:33,74973
